CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;872
CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;875
CONTABILIDAD DE COSTOS;LUIS VARGAS VALDIVIA;1993;657.42;V 297;876
LA AUDITORIA OPERATIVA EN LA PRACTICA;JORDI MAS;1998;657.44;M 394a;10872
AUDITORIA. TOMO I;JUAN M. AGUIRRE;1998;657.45;A 284;7142
AUDITORIA. TOMO I;JUAN M. AGUIRRE;1998;657.45;A 284;7143
GUIA DE AUDITORIA;LARRY P. BAILEY;1998;657.45;B 155g;9321
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7021
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7022
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7023
AUDITORIA Y CONTROL DE DINERO;GUSTAVO CEPEDA;1997;657.45;C 399;7024
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1357
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1358
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1359
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;14403
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1360
AUDITORIA ;JOHN W. COOK;1987;657.45;C 771;1361
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1988;657.45;D 314;2450
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1988;657.45;D 314;2451
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7262
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7263
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7264
AUDITORIA MONGOMERY;ROBERT H. MONGOMERY;1999;657.45;D 314;7265
PLANEACION ESTRATEGICA DE LA PRODUCCION;THOMAS A. FAULHABER;1969;657.45;F 261p;4188
PLANEACION ESTRATEGICA DE LA PRODUCCION;THOMAS A. FAULHABER;1969;657.45;F 261p;4189
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1259
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1260
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1261
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1992;657.45;H 749;1262
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8683
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8684
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;8685
PRINCIPIOS BASICOS DE AUDITORIA;ARTHUR W. HOLMES;1995;657.45;H 729p;16665
CUESTIONES FUNDAMENTALES DE AUDITORIA;ENRIQUE FOWLER NEWTON;1989;657.45;F 789;14402
PLANEACION ESTRATEGICA APLICADA;LEONARD D. GOODSTEIN;1998;657.45;G 578p;3462
PLANEACION ESTRATEGICA APLICADA;LEONARD D. GOODSTEIN;1998;657.45;G 578p;3469
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3447
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3448
INTRODUCCION A LA AUDITORIA DE ESTADOS FINANCIEROS;JOAQUIN GOMEZ MORFIN;1998;657.45;G 633i;3474
NORMAS Y PROCEDIMIENTOS DE AUDITORIA. TOMO I;CONDA;1997;657.45;I 59;7765
NORMAS Y PROCEDIMIENTOS DE AUDITORIA. TOMO II;CONDA;1997;657.45;I 59;7766
AUDITORIA ADMINISTRATIVA;WILLIAM P. LEONARD;1995;657.45;L 583;1813
AUDITORIA ;CARLOS ALBERTO SLOSSE;2009;657.45;SL 634;14219
MANUAL DE CONTROL DE COSTOS;RICHARD WILSON;1988;657.450 202;W 753m;9147
AUDITORIA EN INFORMATICA;JOSE ANTONIO ECHENIQUE;1990;657.450.285;E 18;6460
AUDITORIA COMPUTACIONAL ;JORGE LEON MORALES;1987;657.45;L 579;3671
AUDITORIA INFORMATICA;A. J. THOMAS;1988;657.450.285;T 454;2285
AUDITORIA INFORMATICA;A. J. THOMAS;1988;657.450.285;T 454;2286
CONTABILIDAD FINANCIERA SUPERIOR;MARIA BESTEIRO VARELA;2010;657.48;B 561fcs;14303
CONTABILIDAD FINANCIERA;CHARLES T. HORNGREN;1994;657.48;H 816;1598
CONTABILIDAD FINANCIERA;CHARLES T. HORNGREN;1994;657.48;H 816;1599
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;6993
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;6994
ESTADO DE FLUJOS DE EFECTIVO;JORGE OPAZO;1999;657.48;O 61;7153
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1990;657.48;V 297;3738
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7641
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7643
ESTADO DE FLUJO DE CAJA;LUIS VARGAS VALDIVIA;1998;657.48;V 297e;7644
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10494
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10495
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10496
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10497
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10498
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10499
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10501
ESTADO DE FLUJO DE EFECTIVO;LORENZO CRUCES ACUÑA;2001;657.60;C 955e;10657
APLICACIÓN DE LAS NORMAS INTERNACIONALES DE CONTABILIDAD;ENRIQUE CORONA ROMERO;2005;657.61;C 822nic;14304
MANUAL DE CONTABILIDAD HOTELERA;SECRETARIA TURISMO;1992;657.837;TURISMO;16667
